site,grassType,lat,lon,spNum,n,soc,pr_growing,srad_growing,vpd_growing,tmean_growing,p,soilMoist,soilBD,agb,BGB_0_10,BGB_10_20,BGB_20_30,BGB_0_30,prop_top10,AGB_BGB_0_30,AGB_BGB_0_10,NIRveos
NMG-P122,Temperate steppe,44.4785,117.289833,6,0.18828,1.536466,44.44444444,2329.555556,105.2222222,17.23333333,0.62532,27.66666667,1.14,357.263333,1750.85,590.11,219.22,2560.18,63.55297247,7.166086647,4.900726826,272.8748779
XJYL-P134,Temperate steppe,43.180128,81.408971,8,0.723384,6.351015,41,2351.555556,115.6666667,16.11666667,0.810984,18.77777778,0.941067,77.556667,1151.97,316.98,132.83,1601.78,169.5529725,20.6530278,14.85326851,272.890564
NMG-P193,Temperate meadow steppe,50.199667,119.535972,6,0.24344,2.518147,81.33333333,2061.111111,78.33333333,16.03888889,0.470653,159.2222222,1.31,240.826667,1687.52,745.35,521.26,2954.13,114.5529725,12.26662328,7.007197421,272.9133606
NMG-P190,Temperate steppe,49.052056,119.554889,8,0.186969,1.934324,79.66666667,2079.888889,79.66666667,16.01666667,0.632323,54,1.22,382.2,1317.6,390.05,112.7,1820.35,30.55297247,4.762820513,3.447409733,273.1480103
XJYL-P017,Mountain meadows,44.264785,81.904532,11,0.577052,4.981585,59,2252.222222,60.11111111,10.51666667,1.284738,32.66666667,0.7461,34.056667,880.45,547.97,320.64,1749.06,234.5529725,51.3573451,25.85250048,273.1583862
NMG-P132,Temperate meadow steppe,46.026778,121.705028,6,0.221618,2.238453,88.55555556,2253.666667,93.77777778,18.62777778,0.759809,33.66666667,1.3,58.163333,1129.88,310.81,117.24,1557.93,196.5529725,26.78543198,19.42598441,273.1800537
NMG-P052,Desert steppe,42.218556,109.9265,3,0.065537,0.424093,34.88888889,2448.444444,166.3333333,20.26111111,0.62829,8.888888889,1.63,115.06,716.67,357.61,171.3,1245.58,255.5529725,10.82548236,6.228663306,273.2046051
XJYL-P089,Temperate steppe,43.429158,81.899545,12,0.334459,2.936875,35.55555556,2348.222222,155.1111111,19.89444444,0.293602,8.333333333,1.347367,95.333333,1209.76,597.66,494.82,2302.24,183.5529725,24.14937071,12.68979025,273.2792969
NMG-P121,Temperate steppe,44.395111,116.849306,7,0.157251,1.313047,42.11111111,2343.222222,113.2222222,17.72222222,0.75208,32.33333333,1.21,104.11,1196.46,253.97,114.64,1565.07,139.5529725,15.03284987,11.49226779,273.3831177
NMG-P169,Temperate steppe,49.345194,119.463694,5,0.262542,2.731216,78.44444444,2086,77.22222222,16.04444444,0.175418,6.333333333,1.33,76.433333,1279.61,399.47,163.04,1842.12,182.5529725,24.10100316,16.74151774,273.3868713
XJYL-P091,Mountain meadows,43.342515,81.807458,13,0.277348,2.579248,48.55555556,2299.888889,99.66666667,14.91666667,1.093865,123.2222222,1.520167,37.9,862.6,313.41,212.4,1388.41,223.5529725,36.63350923,22.75989446,273.4185486
XJYL-P126,Temperate steppe,42.596711,81.112375,8,0.529985,4.089115,48.55555556,2298.666667,82.11111111,11.37222222,0.6521,150.8888889,1.1273,56.2,676.52,347.79,220.98,1245.29,175.5529725,22.15818505,12.03772242,273.4298401
NMG-P166,Temperate steppe,48.721861,119.758694,6,0.154979,1.583049,81.77777778,2066.222222,84,16.46111111,0.397105,11.77777778,1.15,289.86,1536.18,752.17,297.49,2585.84,85.55297247,8.920996343,5.299730905,273.7831421
NMG-P163,Temperate steppe,47.837889,118.925361,8,0.202983,1.962077,65.33333333,2130.333333,93,16.78888889,0.380095,37.22222222,1.53,194.096667,1473.82,521.26,215.97,2211.05,108.5529725,11.39148876,7.59322673,274.0006714
NMG-P101,Temperate steppe,44.147639,115.886806,7,0.130159,1.122733,38.33333333,2368.777778,133.6666667,19.01666667,0.289975,30,1.59,253.66,2142.53,494.95,218.25,2855.73,106.5529725,11.2581014,8.44646377,274.0345764
